CustomerID,City,StateProvinceName,Age,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,YearlyIncome,BikeBuyer,AvgMonthSpend,Education
21173,263,27,37,2,1,0,1,3,0,81916,1,50.97,3.0
13249,227,5,52,2,1,0,1,2,1,81076,1,53.11,2.0
29350,259,6,39,2,0,1,0,3,0,86387,1,54.08,3.0
13503,146,8,47,1,1,0,1,2,1,61481,1,56.93,2.0
22803,258,30,49,1,1,1,1,1,0,51804,1,55.41,2.0
22092,243,51,49,1,0,0,1,2,2,61944,1,49.31,1.0
11229,201,6,53,0,1,1,1,1,0,34919,0,56.01,2.0
24179,137,27,27,1,0,0,0,1,0,61832,1,49.29,2.0
12127,94,29,48,2,0,0,1,0,0,83834,1,50.05,2.0
19903,158,26,48,0,1,1,0,1,0,26880,0,54.15,1.0
25924,201,6,26,2,0,1,0,1,0,77258,0,54.02,2.0
23033,132,6,43,3,1,0,1,3,0,102698,0,58.29,3.0
20029,149,6,40,3,0,0,1,1,1,108198,1,52.66,3.0
22031,263,27,64,4,1,0,1,2,0,133762,0,52.5,3.0
23770,151,8,33,0,1,1,0,1,0,30526,0,49.61,0.0
23737,15,6,53,1,0,0,1,2,0,56353,1,49.04,2.0
17127,198,51,59,2,0,1,1,3,1,79019,1,50.48,1.0
28130,136,5,31,1,1,1,0,2,0,55387,1,51.0,2.0
28455,89,15,43,3,1,0,1,2,0,113276,0,58.69,3.0
20161,183,48,61,3,1,1,1,1,0,109259,0,52.3,2.0
21325,98,6,44,2,0,0,1,0,0,83845,0,50.38,1.0
12128,14,15,48,1,0,0,1,0,2,59527,1,53.22,1.0
23679,177,5,63,3,1,1,1,1,0,108360,0,51.88,3.0
26799,82,6,28,2,1,0,0,1,0,87504,0,49.72,2.0
15726,119,36,31,1,0,0,0,0,0,55461,1,48.76,3.0
15473,82,6,35,4,0,1,1,2,0,137464,1,52.03,3.0
28685,91,39,34,2,1,0,1,2,0,87676,1,49.89,1.0
12302,104,15,58,3,1,0,1,3,0,104187,1,51.15,3.0
23523,103,42,41,2,1,1,0,1,0,78222,1,53.53,3.0
18713,170,27,38,2,0,0,1,2,0,77383,0,50.59,4.0
24082,163,9,40,1,0,0,1,1,2,60700,1,49.29,1.0
27886,188,39,44,0,0,1,0,0,0,30913,0,49.0,1.0
21711,259,6,46,2,0,1,1,2,0,86952,1,54.71,2.0
22366,230,5,46,1,1,0,1,2,1,58567,1,55.64,4.0
15010,11,6,27,2,1,0,0,0,0,77478,0,50.55,2.0
22296,141,6,36,2,1,0,1,2,0,78406,0,50.16,3.0
23237,126,15,34,2,1,1,0,1,0,85318,0,51.02,2.0
13832,84,14,28,1,0,1,0,0,0,52928,1,52.17,1.0
26026,245,36,37,2,0,1,0,2,0,79224,1,52.31,3.0
17813,266,8,41,0,1,0,0,0,0,33076,1,53.13,2.0
26369,242,14,39,1,0,0,1,1,0,56641,0,48.89,1.0
18824,130,6,42,0,1,0,1,0,0,27203,0,52.46,1.0
21064,213,41,38,2,0,1,0,3,0,77098,0,50.21,1.0
28532,189,38,36,3,1,0,1,3,2,103200,1,53.97,3.0
16183,235,27,40,1,0,1,0,2,0,53784,0,50.85,3.0
25700,214,39,50,0,0,1,0,1,0,25826,0,47.53,2.0
21746,132,6,42,0,1,0,1,0,1,30925,1,50.48,1.0
26560,170,27,53,0,0,0,1,1,1,30288,0,50.57,0.0
16988,178,6,39,0,1,1,0,0,0,34685,1,48.1,3.0
18562,176,6,35,1,0,0,0,1,1,58213,1,51.99,4.0
14996,14,13,29,3,1,1,0,0,0,108342,1,51.43,2.0
26741,134,27,37,4,0,0,1,2,1,130385,1,55.52,3.0
19490,189,38,40,1,0,1,0,2,0,58227,1,50.76,2.0
12720,240,14,30,1,1,1,0,1,0,52156,1,47.68,2.0
14050,74,42,38,4,1,1,1,2,0,131458,1,57.1,4.0
11926,181,34,26,0,1,1,0,1,0,33510,0,46.25,2.0
28023,83,34,58,1,0,1,1,1,0,56785,0,51.34,1.0
22541,186,13,31,1,0,1,0,1,0,58201,0,51.29,2.0
23192,187,6,39,2,0,0,1,2,0,82359,1,49.64,3.0
24957,132,6,59,1,0,0,1,2,1,55654,1,50.98,0.0
11867,168,6,44,0,1,0,1,1,1,33167,0,58.85,1.0
11929,235,27,58,3,0,1,1,3,0,107883,1,52.81,2.0
27994,5,34,67,2,0,0,1,1,2,80056,1,53.16,1.0
21068,40,8,39,1,1,1,0,2,0,54577,1,49.8,0.0
26332,138,34,38,0,1,0,0,0,1,36070,1,59.05,3.0
20232,121,44,40,1,1,0,1,2,1,54049,1,54.19,3.0
15029,263,27,25,3,1,1,0,1,0,112726,0,55.8,2.0
28907,209,8,53,0,1,0,1,1,0,29749,0,48.95,2.0
11887,82,6,46,1,1,0,1,2,2,56820,1,55.26,3.0
16809,201,6,54,3,0,1,1,3,0,102647,1,51.75,2.0
18033,229,30,28,2,0,1,0,2,0,82258,1,51.48,2.0
27605,226,51,47,1,1,0,1,1,2,54200,1,55.34,1.0
14106,178,6,28,1,0,1,0,2,0,60908,1,51.97,2.0
29293,118,36,37,3,1,1,1,2,0,105007,1,54.5,3.0
17669,226,51,48,0,0,0,1,0,1,32319,1,48.12,1.0
23540,111,36,42,1,1,1,0,1,0,52311,0,57.27,2.0
19710,194,5,44,2,0,1,1,2,0,82851,0,54.25,2.0
21495,180,51,53,0,1,0,1,1,2,29111,0,53.22,1.0
14773,251,29,36,2,1,0,1,1,1,81985,1,52.19,4.0
29082,263,27,55,0,0,1,1,0,0,33954,0,46.19,0.0
14021,129,51,29,0,0,1,0,0,0,29016,0,45.76,2.0
23689,259,6,57,0,0,0,1,0,1,33152,1,50.02,1.0
13485,66,6,67,2,1,0,1,1,2,80331,1,53.77,4.0
14179,33,30,58,2,0,1,1,1,1,79235,0,51.62,3.0
15084,126,15,35,0,0,1,0,1,0,35390,0,50.42,4.0
27193,145,6,30,4,1,1,0,3,0,136457,0,52.17,4.0
20423,263,27,52,1,0,1,1,1,0,53549,0,53.1,1.0
18300,74,42,43,2,0,0,1,0,1,85674,1,50.64,2.0
21781,150,51,57,4,1,0,1,3,0,129242,1,52.48,3.0
28780,225,51,48,1,0,0,1,1,2,61829,1,52.85,0.0
25162,244,6,40,3,1,1,1,3,0,111980,1,59.52,3.0
26829,24,30,37,1,0,0,1,0,1,54675,1,52.61,3.0
11345,246,39,47,3,0,1,1,3,0,106648,1,53.81,2.0
22539,266,8,31,1,1,1,0,1,0,58037,0,52.65,0.0
26226,165,30,32,3,0,0,1,2,0,106062,1,51.69,2.0
22654,78,14,39,0,1,1,0,1,0,28008,0,56.39,1.0
20389,0,51,64,2,1,0,1,2,0,86828,0,50.62,4.0
27716,137,27,43,1,1,1,0,2,0,61109,1,57.61,2.0
23670,215,34,66,0,0,0,1,1,1,35142,0,47.02,4.0
28410,28,8,27,1,0,0,0,2,0,59673,0,48.54,1.0
21755,82,6,61,4,1,0,1,3,1,133272,1,56.63,3.0
12254,188,39,61,2,1,1,1,3,0,81957,0,50.09,2.0
17082,115,13,30,3,0,1,0,1,0,103314,0,52.78,2.0
25122,10,49,37,3,0,1,1,2,0,103546,1,51.61,4.0
25619,246,39,36,1,1,0,0,0,1,58317,1,48.05,3.0
24940,81,6,64,1,1,0,1,2,0,55825,0,48.53,3.0
13117,241,27,38,0,0,1,0,1,0,36367,0,48.33,4.0
12460,147,8,36,3,0,1,0,2,0,107852,1,54.89,3.0
13619,203,27,28,3,1,0,1,0,0,105888,0,51.31,3.0
23455,208,5,48,0,1,1,0,1,0,31956,0,50.51,0.0
20986,35,36,27,2,0,0,0,0,0,83026,1,50.25,1.0
26141,245,36,38,3,1,1,1,2,0,110808,1,56.85,4.0
19074,79,11,56,1,0,0,1,1,2,51566,1,50.94,0.0
23214,141,6,41,4,0,0,1,3,1,132962,1,54.67,3.0
11313,196,51,51,4,1,1,1,2,0,135064,1,55.61,4.0
